event_id,stream_id,account_id,amount,timestamp,seq
ADJ001,adjustments,ACC100,10.00,1700000180,1
ADJ002,adjustments,ACC101,-5.00,1700000280,2
ADJ003,adjustments,ACC102,15.00,1700000380,3
ADJ004,adjustments,ACC103,8.00,1700000580,4
ADJ005,adjustments,ACC100,-12.00,1700000680,5
ADJ006,adjustments,ACC104,20.00,1700000780,6
ADJ007,adjustments,ACC101,7.50,1700000880,7
ADJ008,adjustments,ACC105,12.00,1700001080,8
ADJ009,adjustments,ACC102,-10.00,1700001180,9
ADJ010,adjustments,ACC100,5.00,1700001280,10
ADJ011,adjustments,ACC103,-15.00,1700001380,11
ADJ012,adjustments,ACC106,25.00,1700001500,12
ADJ013,adjustments,ACC104,-8.00,1700001580,13
ADJ014,adjustments,ACC101,18.00,1700001680,14
ADJ015,adjustments,ACC100,30.00,1700001780,15
ADJ016,adjustments,ACC105,-7.00,1700001780,16
ADJ017,adjustments,ACC102,22.00,1700001880,17
