id,stream_id,seq_number,label,deadline,base_cost,depends_on,timestamp
C001,compute,1,matrix-multiply,1700000100,8,,1700000001
C002,compute,2,fft-transform,1700000200,5,C001,1700000002
C003,compute,3,gradient-descent,1700000150,7,,1700000003
C004,compute,4,eigenvalue-solve,1700000300,9,C002,1700000004
C005,compute,5,convolution-2d,1700000250,6,,1700000005
C006,compute,6,sparse-matmul,1700000180,4,C003,1700000006
C007,compute,7,tensor-contract,1700000350,8,,1700000007
C008,compute,8,lu-decompose,1700000120,7,C001,1700000008
C009,compute,9,svd-compute,1700000400,6,,1700000009
C010,compute,10,qr-factorize,1700000220,5,C005,1700000010
C011,compute,11,cholesky-factor,1700000280,8,,1700000011
C012,compute,12,hessian-calc,1700000160,9,C003,1700000012
C013,compute,13,jacobian-eval,1700000310,4,,1700000013
C014,compute,14,laplacian-solve,1700000190,7,C006,1700000014
C015,compute,15,poisson-step,1700000270,6,,1700000015
C016,compute,16,wavelet-xform,1700000330,5,,1700000016
C017,compute,17,dct-encode,1700000140,8,C008,1700000017
C018,compute,18,ifft-reconstruct,1700000380,7,,1700000018
C019,compute,19,pca-reduce,1700000240,9,,1700000019
C020,compute,20,kmeans-iterate,1700000360,6,C011,1700000020
