instr_id,module_id,opcode,dest,src1,src2,block_id,timestamp,seq
CF001,control_flow,br_cond,bb1,r1,,bb0,1700000110,1
CF002,control_flow,br_cond,bb2,r3,,bb0,1700000210,2
CF003,control_flow,phi,r30,r10:bb0;r11:bb1,,bb2,1700000310,3
CF004,control_flow,br_uncond,bb3,,,bb2,1700000410,4
CF005,control_flow,br_cond,bb4,r30,,bb3,1700000510,5
CF006,control_flow,phi,r31,r12:bb2;r14:bb3,,bb4,1700000610,6
CF007,control_flow,br_uncond,bb5,,,bb4,1700000710,7
CF008,control_flow,br_cond,bb6,r31,,bb5,1700000810,8
CF009,control_flow,phi,r32,r16:bb4;r18:bb5,,bb6,1700000910,9
CF010,control_flow,br_uncond,bb7,,,bb6,1700001010,10
CF011,control_flow,br_cond,bb8,r32,,bb7,1700001110,11
CF012,control_flow,phi,r33,r20:bb6;r22:bb7,,bb8,1700001210,12
CF013,control_flow,br_uncond,bb9,,,bb8,1700001310,13
CF014,control_flow,br_cond,bb10,r33,,bb9,1700001410,14
CF015,control_flow,phi,r34,r24:bb8;r26:bb9,,bb10,1700001500,15
CF016,control_flow,br_uncond,bb11,,,bb10,1700001610,16
CF017,control_flow,br_cond,bb12,r34,,bb11,1700001710,17
CF018,control_flow,phi,r35,r28:bb10;r29:bb11,,bb12,1700001810,18
