; Network Intrusion Detection — Threat Propagation Trace
; SOC correlation engine feed from 7 monitored network segments
; Format: SEQ | SEGMENT_ID | EVENT_CLASS | PAYLOAD
001 | dmz | PROBE | vector=syn_scan
002 | vault | PROBE | vector=port_enum
003 | core | BREACH | vector=priv_escalation
004 | edge | PROBE | vector=dns_tunnel
005 | relay | PROBE | vector=ssh_brute
006 | dmz | BREACH | vector=rce_exploit
007 | bastion | PROBE | vector=cert_forgery
008 | enclave | PROBE | vector=arp_spoof
009 | relay | PROBE | vector=icmp_flood
010 | dmz | PROBE | vector=http_smuggle
011 | vault | BREACH | vector=sqli_bypass
012 | enclave | PROBE | vector=dns_rebind
013 | core | PROBE | vector=lateral_move
014 | edge | BREACH | vector=buffer_overflow
015 | relay | BREACH | vector=mitm_inject
016 | bastion | BREACH | vector=token_hijack
017 | dmz | PROBE | vector=xxe_inject
018 | vault | PROBE | vector=path_traversal
019 | enclave | BREACH | vector=heap_spray
020 | core | PROBE | vector=dll_sideload
021 | edge | PROBE | vector=csrf_chain
022 | bastion | PROBE | vector=kerberoast
023 | dmz | BREACH | vector=deserialization
024 | vault | CORRELATE | intel_state=dmz:9;vault:8;core:3;edge:3;relay:3;bastion:3;enclave:3
025 | relay | PROBE | vector=smb_relay
026 | core | BREACH | vector=kernel_exploit
027 | edge | CORRELATE | intel_state=dmz:9;vault:8;core:3;edge:8;relay:3;bastion:3;enclave:3
028 | dmz | PROBE | vector=ssrf_pivot
029 | bastion | PROBE | vector=ldap_inject
030 | vault | PROBE | vector=nosql_inject
031 | core | CORRELATE | intel_state=dmz:9;vault:8;core:8;edge:8;relay:3;bastion:3;enclave:3
032 | dmz | CORRELATE | intel_state=dmz:12;vault:9;core:9;edge:9;relay:9;bastion:9;enclave:9
033 | enclave | PROBE | vector=side_channel
034 | edge | PROBE | vector=open_redirect
035 | bastion | CORRELATE | intel_state=dmz:9;vault:8;core:8;edge:8;relay:3;bastion:8;enclave:3
036 | vault | BREACH | vector=credential_stuff
037 | core | PROBE | vector=process_hollow
038 | dmz | PROBE | vector=subdomain_take
039 | relay | PROBE | vector=bgp_hijack
040 | edge | BREACH | vector=race_condition
041 | bastion | PROBE | vector=oauth_abuse
042 | vault | PROBE | vector=timing_attack
043 | dmz | CORRELATE | intel_state=dmz:14;vault:10;core:10;edge:10;relay:9;bastion:10;enclave:9
044 | core | PROBE | vector=reflective_load
045 | enclave | PROBE | vector=covert_channel
