event_id,aggregate_id,seq_number,event_type,payload_value,version,timestamp
E039,inventory,1,StockReceived,100,1,1700000012
E040,inventory,2,StockReceived,50,2,1700000022
E041,inventory,3,StockReserved,-1,3,1700000032
E042,inventory,4,StockReserved,-1,4,1700000042
E043,inventory,5,StockReserved,-1,5,1700000052
E044,inventory,6,StockShipped,-1,6,1700000062
E045,inventory,7,StockShipped,-1,7,1700000072
E046,inventory,8,StockReceived,75,8,1700000082
E047,inventory,9,StockReserved,-1,9,1700000092
E048,inventory,10,StockShipped,-1,10,1700000102
E049,inventory,11,StockReceived,200,11,1700000112
E050,inventory,12,StockReserved,-3,12,1700000122
E051,inventory,13,StockShipped,-3,13,1700000132
E052,inventory,14,StockAdjusted,-5,14,1700000142
E053,inventory,15,StockReceived,80,15,1700000152
E054,inventory,16,StockReserved,-2,16,1700000160
E055,inventory,17,StockShipped,-2,17,1700000175
