id,stream_id,seq_number,label,deadline,base_cost,depends_on,timestamp
I001,io,1,disk-read-batch,1700000110,3,,1700000001
I002,io,2,log-flush,1700000210,2,I001,1700000002
I003,io,3,checkpoint-write,1700000170,5,,1700000003
I004,io,4,index-rebuild,1700000290,4,I002,1700000004
I005,io,5,cache-evict,1700000230,3,,1700000005
I006,io,6,journal-sync,1700000150,6,I003,1700000006
I007,io,7,wal-rotate,1700000320,4,,1700000007
I008,io,8,compaction-run,1700000180,5,I001,1700000008
I009,io,9,snapshot-create,1700000260,3,,1700000009
I010,io,10,buffer-drain,1700000340,2,,1700000010
I011,io,11,page-flush,1700000130,4,I006,1700000011
I012,io,12,extent-alloc,1700000200,5,,1700000012
I013,io,13,block-reclaim,1700000370,3,I009,1700000013
I014,io,14,slab-defrag,1700000140,6,,1700000014
I015,io,15,ring-buffer-wrap,1700000300,4,,1700000015
I016,io,16,mmap-sync,1700000250,2,I005,1700000016
I017,io,17,fsync-batch,1700000160,5,,1700000017
I018,io,18,aio-submit,1700000280,3,,1700000018
