id,feed_id,x,y,label,timestamp,insert_order
L001,landmark,12.40,45.40,cathedral_main,1700000150,1
L002,landmark,13.20,44.70,bridge_east,1700000250,2
L003,landmark,11.80,46.20,tower_north,1700000350,3
L004,landmark,14.10,43.80,plaza_south,1700000450,4
L005,landmark,12.90,45.60,museum_central,1700000550,5
L006,landmark,13.60,44.10,park_riverside,1700000650,6
L007,landmark,11.30,46.60,fortress_hill,1700000750,7
L008,landmark,14.70,43.20,harbor_point,1700000850,8
L009,landmark,12.10,45.80,library_square,1700000950,9
L010,landmark,13.80,44.40,market_old,1700001050,10
L011,landmark,11.60,46.70,chapel_peak,1700001150,11
L012,landmark,14.40,43.40,arena_west,1700001250,12
L013,landmark,12.50,45.30,fountain_plaza,1700001350,13
L014,landmark,13.40,44.30,station_rail,1700001450,14
L015,landmark,14.90,42.90,lighthouse_bay,1700001550,15
L016,landmark,11.10,46.90,monastery_top,1700001650,16
L017,landmark,12.70,45.50,gallery_art,1700001750,17
L018,landmark,13.00,44.90,theatre_royal,1700001850,18
