job_id,category_id,priority,duration,depends_on,timestamp,seq
MNT001,maintenance,50,30,,1700000120,1
MNT002,maintenance,45,25,MNT001,1700000220,2
MNT003,maintenance,55,40,MNT001,1700000320,3
MNT004,maintenance,48,20,MNT002;MNT003,1700000420,4
MNT005,maintenance,52,35,,1700000520,5
MNT006,maintenance,42,15,MNT005,1700000620,6
MNT007,maintenance,58,45,MNT004;MNT006,1700000720,7
MNT008,maintenance,40,50,,1700000820,8
MNT009,maintenance,53,20,MNT008,1700000920,9
MNT010,maintenance,47,30,MNT005,1700001020,10
MNT011,maintenance,56,25,MNT009;MNT010,1700001120,11
MNT012,maintenance,43,35,,1700001220,12
MNT013,maintenance,59,40,MNT011;MNT012,1700001320,13
MNT014,maintenance,46,15,MNT013,1700001420,14
MNT015,maintenance,54,20,,1700001500,15
MNT016,maintenance,41,30,MNT014;MNT015,1700001620,16
MNT017,maintenance,57,25,MNT016,1700001720,17
