instr_id,module_id,opcode,dest,src1,src2,block_id,timestamp,seq
MEM001,memory_ops,load,r40,addr_0,,bb0,1700000130,1
MEM002,memory_ops,store,,r10,addr_1,bb0,1700000230,2
MEM003,memory_ops,load,r41,addr_2,,bb1,1700000330,3
MEM004,memory_ops,store,,r12,addr_3,bb1,1700000430,4
MEM005,memory_ops,load,r42,addr_4,,bb2,1700000530,5
MEM006,memory_ops,store,,r14,addr_5,bb2,1700000630,6
MEM007,memory_ops,load,r43,addr_6,,bb3,1700000730,7
MEM008,memory_ops,store,,r16,addr_7,bb3,1700000830,8
MEM009,memory_ops,load,r44,addr_8,,bb4,1700000930,9
MEM010,memory_ops,store,,r18,addr_9,bb4,1700001030,10
MEM011,memory_ops,load,r45,addr_10,,bb5,1700001130,11
MEM012,memory_ops,store,,r20,addr_11,bb5,1700001230,12
MEM013,memory_ops,load,r46,addr_12,,bb6,1700001330,13
MEM014,memory_ops,store,,r22,addr_13,bb6,1700001430,14
MEM015,memory_ops,load,r47,addr_0,,bb7,1700001500,3
MEM016,memory_ops,store,,r24,addr_1,bb7,1700001630,16
MEM017,memory_ops,load,r48,addr_2,,bb8,1700001730,17
