id,stream_id,seq_number,label,deadline,base_cost,depends_on,timestamp
N001,network,1,tcp-handshake,1700000105,2,,1700000001
N002,network,2,tls-negotiate,1700000195,4,N001,1700000002
N003,network,3,dns-resolve,1700000330,5,,1700000003
N004,network,4,http-dispatch,1700000285,5,N002,1700000004
N005,network,5,ws-upgrade,1700000225,3,,1700000005
N006,network,6,quic-setup,1700000165,4,N003,1700000006
N007,network,7,grpc-stream,1700000315,6,,1700000007
N008,network,8,retry-backoff,1700000175,2,N001,1700000008
N009,network,9,conn-pool-fill,1700000395,3,,1700000009
N010,network,10,keepalive-ping,1700000215,1,,1700000010
N011,network,11,rate-limit-wait,1700000275,4,N005,1700000011
N012,network,12,circuit-break,1700000145,5,,1700000012
N013,network,13,load-balance,1700000305,3,N007,1700000013
N014,network,14,health-check,1700000185,2,,1700000014
N015,network,15,ssl-renew,1700000265,4,,1700000015
N016,network,16,packet-retry,1700000335,3,N011,1700000016
N017,network,17,ack-coalesce,1700000245,2,,1700000017
