event_id,aggregate_id,seq_number,event_type,payload_value,version,timestamp
E001,orders,1,OrderCreated,150,1,1700000010
E002,orders,2,ItemAdded,25,2,1700000020
E003,orders,3,ItemAdded,30,3,1700000030
E004,orders,4,DiscountApplied,-10,4,1700000040
E005,orders,5,OrderConfirmed,0,5,1700000050
E006,orders,6,PaymentLinked,0,6,1700000060
E007,orders,7,ShippingCalculated,12,7,1700000070
E008,orders,8,OrderShipped,0,8,1700000080
E009,orders,9,TrackingAdded,0,9,1700000090
E010,orders,10,DeliveryConfirmed,0,10,1700000100
E011,orders,11,OrderCreated,200,11,1700000110
E012,orders,12,ItemAdded,45,12,1700000120
E013,orders,13,ItemAdded,60,13,1700000130
E014,orders,14,CouponApplied,-15,14,1700000140
E015,orders,15,OrderConfirmed,0,15,1700000150
E016,orders,16,PaymentLinked,0,16,1700000160
E017,orders,17,ShippingCalculated,8,17,1700000170
E018,orders,18,OrderShipped,0,18,1700000180
E019,orders,19,ReturnRequested,-60,19,1700000190
E020,orders,20,RefundIssued,-45,20,1700000200
