event_id,stream_id,event_type,timestamp,sequence_number,payload_amount,entity_id
ORD001,orders,order_created,1700000100,1,250.00,ENT_A01
ORD002,orders,order_confirmed,1700000200,2,250.00,ENT_A01
ORD003,orders,order_created,1700000300,3,180.50,ENT_A02
ORD004,orders,order_shipped,1700000400,4,250.00,ENT_A01
ORD005,orders,order_created,1700000500,5,320.75,ENT_A03
ORD006,orders,order_confirmed,1700000600,6,180.50,ENT_A02
ORD007,orders,order_created,1700000700,7,95.00,ENT_A04
ORD008,orders,order_delivered,1700000800,8,250.00,ENT_A01
ORD009,orders,order_shipped,1700000900,9,180.50,ENT_A02
ORD010,orders,order_confirmed,1700001000,10,320.75,ENT_A03
ORD011,orders,order_created,1700001100,11,410.25,ENT_A05
ORD012,orders,order_confirmed,1700001200,12,95.00,ENT_A04
ORD013,orders,order_shipped,1700001300,13,320.75,ENT_A03
ORD014,orders,order_created,1700001400,14,155.00,ENT_A06
ORD015,orders,order_delivered,1700001500,15,180.50,ENT_A02
ORD016,orders,order_confirmed,1700001600,16,410.25,ENT_A05
ORD017,orders,order_shipped,1700001700,17,95.00,ENT_A04
ORD018,orders,order_created,1700001800,18,275.00,ENT_A07
ORD019,orders,order_confirmed,1700001900,19,155.00,ENT_A06
ORD020,orders,order_delivered,1700002000,20,320.75,ENT_A03
ORD021,orders,order_shipped,1700002100,21,410.25,ENT_A05
ORD022,orders,order_created,1700002200,22,199.99,ENT_A08
