event_id,aggregate_id,seq_number,event_type,payload_value,version,timestamp
E021,payments,1,PaymentInitiated,150,1,1700000015
E022,payments,2,CardValidated,0,2,1700000025
E023,payments,3,AmountHeld,150,3,1700000035
E024,payments,4,AuthCompleted,0,4,1700000045
E025,payments,5,CaptureStarted,150,5,1700000055
E026,payments,6,CaptureCompleted,150,6,1700000065
E027,payments,7,ReceiptGenerated,0,7,1700000075
E028,payments,8,LedgerUpdated,150,8,1700000085
E029,payments,9,PaymentInitiated,305,9,1700000095
E030,payments,10,CardValidated,0,10,1700000105
E031,payments,11,AmountHeld,305,11,1700000115
E032,payments,12,AuthCompleted,0,12,1700000125
E033,payments,13,CaptureStarted,305,13,1700000135
E034,payments,14,CaptureCompleted,305,14,1700000145
E035,payments,15,ReceiptGenerated,0,15,1700000155
E036,payments,16,LedgerUpdated,305,16,1700000170
E037,payments,17,RefundInitiated,-60,17,1700000195
E038,payments,18,RefundCompleted,-60,18,1700000205
