event_id,stream_id,event_type,timestamp,sequence_number,payload_amount,entity_id
PAY001,payments,payment_initiated,1700000150,1,250.00,ENT_A01
PAY002,payments,payment_captured,1700000350,2,250.00,ENT_A01
PAY003,payments,payment_initiated,1700000550,3,180.50,ENT_A02
PAY004,payments,payment_captured,1700000750,4,180.50,ENT_A02
PAY005,payments,payment_initiated,1700000950,5,320.75,ENT_A03
PAY006,payments,payment_captured,1700001050,6,320.75,ENT_A03
PAY007,payments,payment_initiated,1700001150,7,95.00,ENT_A04
PAY008,payments,payment_refund,1700001250,8,50.00,ENT_A01
PAY009,payments,payment_captured,1700001350,9,95.00,ENT_A04
PAY010,payments,payment_initiated,1700001450,10,410.25,ENT_A05
PAY011,payments,payment_captured,1700001550,11,410.25,ENT_A05
PAY012,payments,payment_initiated,1700001650,12,155.00,ENT_A06
PAY013,payments,payment_captured,1700001750,13,155.00,ENT_A06
PAY014,payments,payment_initiated,1700001850,14,275.00,ENT_A07
PAY015,payments,payment_refund,1700001900,15,30.00,ENT_A02
PAY016,payments,payment_captured,1700002050,16,275.00,ENT_A07
PAY017,payments,payment_initiated,1700002150,17,199.99,ENT_A08
PAY018,payments,payment_captured,1700002250,18,199.99,ENT_A08
