event_id,stream_id,account_id,amount,timestamp,seq
REF001,refunds,ACC100,-50.00,1700000150,1
REF002,refunds,ACC101,-30.00,1700000250,2
REF003,refunds,ACC102,-80.00,1700000350,3
REF004,refunds,ACC103,-45.00,1700000550,4
REF005,refunds,ACC100,-25.00,1700000650,5
REF006,refunds,ACC104,-100.00,1700000750,6
REF007,refunds,ACC101,-55.00,1700000850,7
REF008,refunds,ACC105,-20.00,1700001050,8
REF009,refunds,ACC102,-65.00,1700001150,9
REF010,refunds,ACC100,-40.00,1700001250,10
REF011,refunds,ACC103,-75.00,1700001350,11
REF012,refunds,ACC106,-90.00,1700001450,12
REF013,refunds,ACC104,-35.00,1700001550,13
REF014,refunds,ACC101,-60.00,1700001650,14
REF015,refunds,ACC100,-45.00,1700001500,5
REF016,refunds,ACC105,-30.00,1700001750,16
REF017,refunds,ACC102,-55.00,1700001850,17
REF018,refunds,ACC103,-40.00,1700001950,18
