; SDF Ray March Scene Composition Trace
; Distance field accumulation for 7 primitives in a CSG scene graph
; Format: STEP # PRIM_ID # OP_TYPE # PARAMS
001 # sphere_a # MARCH # stride=0.42
002 # box_b # MARCH # stride=0.37
003 # torus_c # INTERSECT # stride=0.51
004 # cone_d # MARCH # stride=0.29
005 # capsule_e # MARCH # stride=0.44
006 # sphere_a # INTERSECT # stride=0.38
007 # cylinder_f # MARCH # stride=0.33
008 # plane_g # MARCH # stride=0.36
009 # capsule_e # MARCH # stride=0.41
010 # sphere_a # MARCH # stride=0.39
011 # box_b # INTERSECT # stride=0.46
012 # plane_g # MARCH # stride=0.43
013 # torus_c # MARCH # stride=0.47
014 # cone_d # INTERSECT # stride=0.52
015 # capsule_e # INTERSECT # stride=0.31
016 # cylinder_f # INTERSECT # stride=0.40
017 # sphere_a # MARCH # stride=0.35
018 # box_b # MARCH # stride=0.50
019 # plane_g # INTERSECT # stride=0.45
020 # torus_c # MARCH # stride=0.28
021 # cone_d # MARCH # stride=0.34
022 # cylinder_f # MARCH # stride=0.38
023 # sphere_a # INTERSECT # stride=0.32
024 # box_b # BLEND # sdf_state=sphere_a:9;box_b:8;torus_c:3;cone_d:3;capsule_e:3;cylinder_f:3;plane_g:3
025 # capsule_e # MARCH # stride=0.49
026 # torus_c # INTERSECT # stride=0.36
027 # cone_d # BLEND # sdf_state=sphere_a:9;box_b:8;torus_c:3;cone_d:8;capsule_e:3;cylinder_f:3;plane_g:3
028 # sphere_a # MARCH # stride=0.41
029 # cylinder_f # MARCH # stride=0.29
030 # box_b # MARCH # stride=0.44
031 # torus_c # BLEND # sdf_state=sphere_a:9;box_b:8;torus_c:8;cone_d:8;capsule_e:9;cylinder_f:9;plane_g:9
032 # sphere_a # BLEND # sdf_state=sphere_a:11;box_b:9;torus_c:9;cone_d:9;capsule_e:9;cylinder_f:9;plane_g:9
033 # plane_g # MARCH # stride=0.37
034 # cone_d # MARCH # stride=0.48
035 # cylinder_f # BLEND # sdf_state=sphere_a:9;box_b:8;torus_c:8;cone_d:8;capsule_e:9;cylinder_f:8;plane_g:9
036 # box_b # INTERSECT # stride=0.53
037 # torus_c # MARCH # stride=0.30
038 # sphere_a # MARCH # stride=0.46
039 # capsule_e # MARCH # stride=0.35
040 # cone_d # INTERSECT # stride=0.42
041 # cylinder_f # MARCH # stride=0.38
042 # box_b # MARCH # stride=0.41
043 # sphere_a # BLEND # sdf_state=sphere_a:13;box_b:10;torus_c:10;cone_d:10;capsule_e:9;cylinder_f:10;plane_g:9
044 # torus_c # MARCH # stride=0.33
045 # plane_g # MARCH # stride=0.44
