id,feed_id,x,y,label,timestamp,insert_order
S001,sensor,12.50,45.30,temperature_north,1700000100,1
S002,sensor,13.10,44.80,humidity_east,1700000200,2
S003,sensor,11.90,46.10,pressure_high,1700000300,3
S004,sensor,14.20,43.90,temperature_south,1700000400,4
S005,sensor,12.80,45.70,wind_speed_a,1700000500,5
S006,sensor,13.50,44.20,radiation_b,1700000600,6
S007,sensor,11.20,46.50,humidity_west,1700000700,7
S008,sensor,14.80,43.10,temperature_core,1700000800,8
S009,sensor,12.00,45.90,vibration_x,1700000900,9
S010,sensor,13.90,44.50,acoustic_level,1700001000,10
S011,sensor,11.50,46.80,temperature_peak,1700001100,11
S012,sensor,14.50,43.50,pressure_low,1700001200,12
S013,sensor,12.30,45.10,humidity_central,1700001300,13
S014,sensor,13.70,44.00,wind_dir_n,1700001400,14
S015,sensor,11.80,46.30,seismic_alpha,1700001500,15
S016,sensor,14.00,43.70,temperature_ring,1700001600,16
S017,sensor,12.60,45.50,moisture_deep,1700001700,17
S018,sensor,13.30,44.60,gas_detect_1,1700001800,18
S019,sensor,15.00,42.80,temperature_far,1700001900,19
S020,sensor,11.00,47.00,signal_edge,1700002000,20
