proof_id,chain_id,leaf_hash,root_hash,depth,position,sibling_count,timestamp,seq
SP001,sha256,a1b2c3d4,f9e8d7c6,4,3,4,1700000100,1
SP002,sha256,e5f6a7b8,f9e8d7c6,4,7,4,1700000200,2
SP003,sha256,c9d0e1f2,aabb1122,5,12,5,1700000300,3
SP004,sha256,13243546,aabb1122,5,19,5,1700000400,4
SP005,sha256,57687980,ccdd3344,3,2,3,1700000500,5
SP006,sha256,a1b20001,ccdd3344,3,5,3,1700000600,6
SP007,sha256,f3e4d5c6,eeff5566,6,41,6,1700000700,7
SP008,sha256,b7a8c9d0,eeff5566,6,58,6,1700000800,8
SP009,sha256,e1f20314,77889900,4,9,4,1700000900,9
SP010,sha256,45562778,77889900,4,14,4,1700001000,10
SP011,sha256,89901112,11223344,5,25,5,1700001100,11
SP012,sha256,c3d4e5f6,11223344,5,30,5,1700001200,12
SP013,sha256,07182930,55667788,4,11,4,1700001300,13
SP014,sha256,a1425364,55667788,4,8,4,1700001400,14
SP015,sha256,75869708,99aabbcc,6,35,6,1700001500,15
SP016,sha256,b9c0d1e2,99aabbcc,6,62,6,1700001600,16
SP017,sha256,f3041526,ddeeff00,3,1,3,1700001700,17
SP018,sha256,37485960,ddeeff00,3,6,3,1700001800,18
SP019,sha256,71829304,11335577,5,22,5,1700001900,19
SP020,sha256,b5c6d7e8,11335577,5,27,5,1700001900,20
