; Audio Forensics — Spectral Coefficient Dump
; 7 tracks analyzed via short-time Fourier transform
; Format: TRACK_ID | FRAME_INDEX | COEFFICIENTS (comma-separated floats)
; Each track has 8 frames of 6 coefficients each
track_alpha | 0 | 2.4,1.8,3.1,0.7,2.9,1.2
track_alpha | 1 | 2.6,1.9,3.0,0.8,2.8,1.3
track_alpha | 2 | 2.5,1.7,3.2,0.6,3.0,1.1
track_alpha | 3 | 2.3,1.8,3.1,0.9,2.7,1.4
track_alpha | 4 | 2.7,2.0,2.9,0.5,3.1,1.0
track_alpha | 5 | 2.4,1.6,3.3,0.8,2.8,1.2
track_alpha | 6 | 2.5,1.9,3.0,0.7,2.9,1.3
track_alpha | 7 | 2.6,1.8,3.1,0.6,3.0,1.1
track_beta | 0 | 1.1,3.2,0.8,2.7,1.5,2.9
track_beta | 1 | 1.0,3.3,0.9,2.6,1.6,2.8
track_beta | 2 | 1.2,3.1,0.7,2.8,1.4,3.0
track_beta | 3 | 1.1,3.4,0.8,2.5,1.7,2.7
track_beta | 4 | 0.9,3.2,1.0,2.9,1.3,3.1
track_beta | 5 | 1.2,3.0,0.8,2.7,1.5,2.9
track_beta | 6 | 1.0,3.3,0.9,2.6,1.6,2.8
track_beta | 7 | 1.1,3.1,0.7,2.8,1.4,3.0
track_gamma | 0 | 2.5,1.9,3.0,0.8,2.8,1.3
track_gamma | 1 | 2.4,1.8,3.1,0.7,2.9,1.2
track_gamma | 2 | 2.6,2.0,2.9,0.9,2.7,1.4
track_gamma | 3 | 2.3,1.7,3.2,0.6,3.0,1.1
track_gamma | 4 | 2.5,1.8,3.1,0.8,2.8,1.3
track_gamma | 5 | 2.7,2.1,2.8,0.5,3.1,1.0
track_gamma | 6 | 2.4,1.9,3.0,0.7,2.9,1.2
track_gamma | 7 | 2.6,1.8,3.1,0.6,3.0,1.1
track_delta | 0 | 3.5,0.4,1.2,3.0,0.8,2.1
track_delta | 1 | 3.6,0.5,1.1,2.9,0.9,2.0
track_delta | 2 | 3.4,0.3,1.3,3.1,0.7,2.2
track_delta | 3 | 3.7,0.6,1.0,2.8,1.0,1.9
track_delta | 4 | 3.5,0.4,1.2,3.0,0.8,2.1
track_delta | 5 | 3.3,0.5,1.4,3.2,0.6,2.3
track_delta | 6 | 3.6,0.4,1.1,2.9,0.9,2.0
track_delta | 7 | 3.4,0.3,1.3,3.1,0.7,2.2
track_epsilon | 0 | 0.3,2.8,3.5,0.4,1.9,2.1
track_epsilon | 1 | 0.4,2.7,3.6,0.5,1.8,2.2
track_epsilon | 2 | 0.2,2.9,3.4,0.3,2.0,2.0
track_epsilon | 3 | 0.5,2.6,3.7,0.6,1.7,2.3
track_epsilon | 4 | 0.3,2.8,3.5,0.4,1.9,2.1
track_epsilon | 5 | 0.4,2.9,3.3,0.5,2.1,1.9
track_epsilon | 6 | 0.3,2.7,3.6,0.4,1.8,2.2
track_epsilon | 7 | 0.2,2.8,3.4,0.3,2.0,2.0
track_zeta | 0 | 3.4,0.5,1.3,3.1,0.7,2.2
track_zeta | 1 | 3.5,0.4,1.2,3.0,0.8,2.1
track_zeta | 2 | 3.6,0.3,1.1,2.9,0.9,2.0
track_zeta | 3 | 3.3,0.6,1.4,3.2,0.6,2.3
track_zeta | 4 | 3.5,0.4,1.2,3.0,0.8,2.1
track_zeta | 5 | 3.4,0.5,1.3,3.1,0.7,2.2
track_zeta | 6 | 3.6,0.4,1.1,2.9,0.9,2.0
track_zeta | 7 | 3.5,0.3,1.2,3.0,0.8,2.1
track_eta | 0 | 1.9,2.1,0.3,2.8,3.5,0.4
track_eta | 1 | 1.8,2.2,0.4,2.7,3.6,0.5
track_eta | 2 | 2.0,2.0,0.2,2.9,3.4,0.3
track_eta | 3 | 1.7,2.3,0.5,2.6,3.7,0.6
track_eta | 4 | 1.9,2.1,0.3,2.8,3.5,0.4
track_eta | 5 | 2.1,1.9,0.4,2.9,3.3,0.5
track_eta | 6 | 1.8,2.2,0.3,2.7,3.6,0.4
track_eta | 7 | 2.0,2.0,0.2,2.8,3.4,0.3
