seq	segment	action	payload
1	seg_alpha	SCAN	vector=outbound
2	seg_beta	EXPLOIT	vector=inbound
3	seg_gamma	SCAN	vector=lateral
4	seg_delta	SCAN	vector=outbound
5	seg_epsilon	EXPLOIT	vector=inbound
6	seg_zeta	SCAN	vector=lateral
7	seg_eta	SCAN	vector=outbound
8	seg_alpha	EXPLOIT	vector=inbound
9	seg_alpha	SCAN	vector=lateral
10	seg_beta	SCAN	vector=outbound
11	seg_gamma	EXPLOIT	vector=inbound
12	seg_delta	EXPLOIT	vector=lateral
13	seg_epsilon	SCAN	vector=outbound
14	seg_zeta	EXPLOIT	vector=inbound
15	seg_eta	EXPLOIT	vector=lateral
16	seg_alpha	LATERAL	propagation=seg_alpha:9|seg_beta:3|seg_gamma:3|seg_delta:3|seg_epsilon:3|seg_zeta:3|seg_eta:3
17	seg_beta	LATERAL	propagation=seg_alpha:9|seg_beta:6|seg_gamma:3|seg_delta:3|seg_epsilon:3|seg_zeta:3|seg_eta:3
18	seg_alpha	SCAN	vector=outbound
19	seg_gamma	SCAN	vector=lateral
20	seg_delta	SCAN	vector=outbound
21	seg_epsilon	SCAN	vector=lateral
22	seg_zeta	SCAN	vector=outbound
23	seg_eta	SCAN	vector=lateral
24	seg_alpha	EXPLOIT	vector=inbound
25	seg_beta	SCAN	vector=lateral
26	seg_gamma	LATERAL	propagation=seg_alpha:9|seg_beta:3|seg_gamma:6|seg_delta:3|seg_epsilon:3|seg_zeta:3|seg_eta:3
27	seg_delta	LATERAL	propagation=seg_alpha:3|seg_beta:3|seg_gamma:6|seg_delta:7|seg_epsilon:3|seg_zeta:3|seg_eta:3
28	seg_alpha	SCAN	vector=outbound
29	seg_beta	EXPLOIT	vector=inbound
30	seg_gamma	SCAN	vector=lateral
31	seg_epsilon	EXPLOIT	vector=outbound
32	seg_zeta	SCAN	vector=inbound
33	seg_eta	SCAN	vector=lateral
34	seg_alpha	SCAN	vector=inbound
35	seg_beta	SCAN	vector=outbound
36	seg_epsilon	LATERAL	propagation=seg_alpha:3|seg_beta:3|seg_gamma:3|seg_delta:3|seg_epsilon:8|seg_zeta:3|seg_eta:3
37	seg_zeta	LATERAL	propagation=seg_alpha:3|seg_beta:3|seg_gamma:3|seg_delta:3|seg_epsilon:8|seg_zeta:7|seg_eta:3
38	seg_alpha	EXPLOIT	vector=lateral
39	seg_beta	SCAN	vector=inbound
40	seg_gamma	EXPLOIT	vector=outbound
41	seg_delta	SCAN	vector=lateral
42	seg_eta	EXPLOIT	vector=inbound
43	seg_alpha	SCAN	vector=outbound
44	seg_beta	EXPLOIT	vector=lateral
45	seg_eta	SCAN	vector=outbound
