id,feed_id,x,y,label,timestamp,insert_order
Z001,zone,12.00,45.00,residential_alpha,1700000120,1
Z002,zone,13.00,44.50,commercial_beta,1700000220,2
Z003,zone,11.50,46.00,industrial_gamma,1700000320,3
Z004,zone,14.00,43.50,mixed_use_delta,1700000420,4
Z005,zone,12.50,45.50,park_zone_eps,1700000520,5
Z006,zone,13.50,44.00,waterfront_zeta,1700000620,6
Z007,zone,11.00,46.50,conservation_eta,1700000720,7
Z008,zone,14.50,43.00,transport_theta,1700000820,8
Z009,zone,12.20,45.20,heritage_iota,1700000920,9
Z010,zone,13.80,44.20,retail_kappa,1700001020,10
Z011,zone,11.80,46.40,academic_lambda,1700001120,11
Z012,zone,14.20,43.60,medical_mu,1700001220,12
Z013,zone,12.80,45.80,sports_nu,1700001320,13
Z014,zone,13.20,44.60,cultural_xi,1700001420,14
Z015,zone,15.00,42.80,port_omicron,1700001520,15
Z016,zone,11.20,46.80,forest_pi,1700001620,16
Z017,zone,12.60,45.40,tech_hub_rho,1700001720,17
