; Abstract Interpretation — Dataflow Lattice Trace
; Fixed-point computation over 7 program points in the CFG
; Format: STEP ~> POINT_ID ~> OPERATION ~> CONTEXT
001 ~> entry ~> TRANSFER ~> expr=load_const
002 ~> loop_head ~> TRANSFER ~> expr=phi_merge
003 ~> branch_t ~> WIDEN ~> expr=array_bounds
004 ~> branch_f ~> TRANSFER ~> expr=null_check
005 ~> merge ~> TRANSFER ~> expr=join_paths
006 ~> entry ~> WIDEN ~> expr=param_range
007 ~> handler ~> TRANSFER ~> expr=exc_type
008 ~> exit ~> TRANSFER ~> expr=return_val
009 ~> merge ~> TRANSFER ~> expr=loop_var
010 ~> entry ~> TRANSFER ~> expr=global_ref
011 ~> loop_head ~> WIDEN ~> expr=iter_bound
012 ~> exit ~> TRANSFER ~> expr=cleanup
013 ~> branch_t ~> TRANSFER ~> expr=cmp_result
014 ~> branch_f ~> WIDEN ~> expr=fallthrough
015 ~> merge ~> WIDEN ~> expr=interval_join
016 ~> handler ~> WIDEN ~> expr=stack_unwind
017 ~> entry ~> TRANSFER ~> expr=type_narrow
018 ~> loop_head ~> TRANSFER ~> expr=induction
019 ~> exit ~> WIDEN ~> expr=overflow_chk
020 ~> branch_t ~> TRANSFER ~> expr=predicate
021 ~> branch_f ~> TRANSFER ~> expr=default_val
022 ~> handler ~> TRANSFER ~> expr=catch_filter
023 ~> entry ~> WIDEN ~> expr=assertion
024 ~> loop_head ~> JOIN ~> lattice_state=entry:9;loop_head:8;branch_t:3;branch_f:3;merge:3;handler:3;exit:3
025 ~> merge ~> TRANSFER ~> expr=convergence
026 ~> branch_t ~> WIDEN ~> expr=range_refine
027 ~> branch_f ~> JOIN ~> lattice_state=entry:9;loop_head:8;branch_t:3;branch_f:8;merge:3;handler:3;exit:3
028 ~> entry ~> TRANSFER ~> expr=callee_ret
029 ~> handler ~> TRANSFER ~> expr=rethrow
030 ~> loop_head ~> TRANSFER ~> expr=backedge
031 ~> branch_t ~> JOIN ~> lattice_state=entry:9;loop_head:8;branch_t:8;branch_f:8;merge:9;handler:9;exit:9
032 ~> entry ~> JOIN ~> lattice_state=entry:11;loop_head:9;branch_t:9;branch_f:9;merge:9;handler:9;exit:9
033 ~> exit ~> TRANSFER ~> expr=final_store
034 ~> branch_f ~> TRANSFER ~> expr=else_path
035 ~> handler ~> JOIN ~> lattice_state=entry:9;loop_head:8;branch_t:8;branch_f:8;merge:9;handler:8;exit:9
036 ~> loop_head ~> WIDEN ~> expr=termination
037 ~> branch_t ~> TRANSFER ~> expr=true_path
038 ~> entry ~> TRANSFER ~> expr=entry_state
039 ~> merge ~> TRANSFER ~> expr=meet_result
040 ~> branch_f ~> WIDEN ~> expr=widened_abs
041 ~> handler ~> TRANSFER ~> expr=finally_blk
042 ~> loop_head ~> TRANSFER ~> expr=loop_cond
043 ~> entry ~> JOIN ~> lattice_state=entry:13;loop_head:10;branch_t:10;branch_f:10;merge:9;handler:10;exit:9
044 ~> branch_t ~> TRANSFER ~> expr=narrowing
045 ~> exit ~> TRANSFER ~> expr=post_dom
